na_acc,na_loss,rt_loss,log,id,backbone
0.8362448515835819,0.4968865023064285,0.7179913026096977,BPI20RequestForPayment,uf6xjoj8,qwen25-05b
0.8106803010935947,0.5160141172708393,0.7132324288640065,BPI20RequestForPayment,uf6xjoj8,qwen25-05b
0.8297116886805851,0.47627504852884384,0.7549510901835371,BPI20RequestForPayment,uf6xjoj8,qwen25-05b
0.8200539696065899,0.4752180252270237,0.6815289637697401,BPI20RequestForPayment,uf6xjoj8,qwen25-05b
0.7808549921886095,0.5028167496247651,0.7147903618462433,BPI20RequestForPayment,uf6xjoj8,qwen25-05b
0.8123846044595938,0.47147633653187543,0.6893490649576706,BPI20RequestForPayment,uf6xjoj8,qwen25-05b
0.7646641102116176,0.49821095845184954,0.749673324152076,BPI20RequestForPayment,uf6xjoj8,qwen25-05b
0.7214884249396393,0.6062094961068049,0.6734434240430852,BPI20RequestForPayment,uf6xjoj8,qwen25-05b
0.7244709558301378,0.6056644115710763,0.6716363947087772,BPI20RequestForPayment,uf6xjoj8,qwen25-05b
0.7907967618236046,0.4937641518712975,0.6814809799736119,BPI20RequestForPayment,uf6xjoj8,qwen25-05b
0.7842635989206078,0.5018422334408527,0.6705539819446245,BPI20RequestForPayment,uf6xjoj8,qwen25-05b
0.7271694361596364,0.6164304910439555,0.6913476133868024,BPI20RequestForPayment,uf6xjoj8,qwen25-05b
0.737963357477631,0.5866428791604721,0.6930907489799366,BPI20RequestForPayment,uf6xjoj8,qwen25-05b
0.78000284050561,0.5082604332820815,0.6984716222259474,BPI20RequestForPayment,uf6xjoj8,qwen25-05b
0.609848718740352,1.2633385451276495,0.8606494646228439,BPI20TravelPermitData,18omlxg8,llama32-1b
0.7260882988576721,0.9891852396805738,0.984329611786209,BPI20TravelPermitData,18omlxg8,llama32-1b
0.7241741278172276,1.0279237335572533,1.1116590010527292,BPI20TravelPermitData,18omlxg8,llama32-1b
0.4702994751466502,1.8022038407074004,1.0796100437733154,BPI20TravelPermitData,18omlxg8,llama32-1b
0.6605742513121333,1.1504859482664207,0.8774347952465541,BPI20TravelPermitData,18omlxg8,llama32-1b
0.7536894103118247,0.8654563532231876,0.8364089243866184,BPI20TravelPermitData,18omlxg8,llama32-1b
0.15702377276937327,3.075803282202744,1.4970535323074403,BPI20TravelPermitData,18omlxg8,llama32-1b
0.6908613769682,1.095762939547344,1.4086095670668863,BPI20TravelPermitData,18omlxg8,llama32-1b
0.7521765977153443,0.8810257405548708,1.7432445892988808,BPI20TravelPermitData,18omlxg8,llama32-1b
0.7329731398579808,0.895709222626929,0.8582421212403927,BPI20TravelPermitData,18omlxg8,llama32-1b
0.6933621488113615,1.0408799030413485,0.8695383030678542,BPI20TravelPermitData,18omlxg8,llama32-1b
0.7471750540290213,0.853382388659928,0.8266479600833941,BPI20TravelPermitData,18omlxg8,llama32-1b
0.7410929299166409,0.8522178028056047,0.8719912158592721,BPI20TravelPermitData,18omlxg8,llama32-1b
0.6673047236801481,1.0570184154693048,0.9140537161855059,BPI20TravelPermitData,18omlxg8,llama32-1b
0.7463414634146341,0.8181124138073923,0.8511527946238976,BPI20TravelPermitData,18omlxg8,llama32-1b
0.6003396109910466,1.4008347476253762,0.97455951017007,BPI20TravelPermitData,18omlxg8,llama32-1b
0.7188947205927756,0.8942846216364899,0.885958834480599,BPI20TravelPermitData,18omlxg8,llama32-1b
